object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of
Orange,34.391,36,y,color,Ð,Ð,Ð,Ð,Ð
Graphic_Design,17.351,27,Ð,Ð,Ð,Design,Ð,o,Ð
Yellow,14.494,15,y,color,Ð,Ð,Ð,Ð,Ð
Technology,10.365,12,Ð,Ð,Ð,Tech,Tech,o,Ð
Electronic_Device,7.722,8,Ð,Ð,Ð,Tech,Ð,o,Ð
Gadget,6.848,8,Ð,Ð,Ð,Tech,Ð,s,Electronic_Device
Red,6.836,7,y,color,Ð,Ð,Ð,Ð,Ð
Interior_Design,4.671,5,Ð,Ð,Ð,Interior_Design,y,o,Ð
Ceiling,4.622,5,Ð,Ð,Ð,Interior_Design,Ð,o,Ð
Electronics,4.567,6,Ð,Ð,Ð,Tech,Ð,s,Electronic_Device
Display_Device,4.367,5,Ð,Ð,Ð,Tech,Ð,s,Electronic_Device
Flooring,2.862,3,Ð,Ð,Ð,Interior_Design,Ð,s,Floor
Floor,2.788,3,Ð,Ð,Ð,Interior_Design,Ð,o,Ð
Heat,2.473,4,Ð,Ð,Ð,Heat,y,o,Ð
Animation,2.092,3,Ð,Ð,Ð,Design,Ð,o,Ð
Communication_Device,1.927,2,Ð,Ð,Phone,Tech,Ð,o,Ð
Telephony,1.862,2,Ð,Ð,Ð,Tech,Ð,s,Phone
Mobile_Phone,1.846,2,Ð,Ð,Ð,Tech,Ð,s,Phone
Portable_Communications_Device,1.779,2,Ð,Ð,Ð,Tech,Ð,s,Phone
Lens_Flare,1.681,3,Ð,Ð,Ð,Heat,Ð,o,Ð
Software,1.681,2,Ð,Ð,Ð,Tech,Ð,o,Ð
Mobile_Device,1.673,2,Ð,Ð,Ð,Tech,Ð,s,Phone
Machine,1.661,2,Ð,Ð,Ð,Tech,Ð,s,Electronic_Device
Input_Device,1.504,2,Ð,Ð,Ð,Tech,Ð,s,Electronic_Device
Peripheral,1.437,2,y,too_abstract,Ð,Ð,Ð,Ð,Ð
Watch,1.437,2,Ð,Ð,Ð,Tech,Ð,o,Ð
Computer_Hardware,1.398,2,Ð,Ð,Ð,Tech,Ð,s,Electronic_Device
Wire,1.283,2,Ð,Ð,Ð,Tech,Ð,o,Ð
Hall,1.233,2,Ð,Ð,Ð,Interior_Design,Ð,o,Ð
Light_Fixture,1.23,2,Ð,Ð,Ð,Interior_Design,Ð,o,Ð
Tile,1.218,2,Ð,Ð,Ð,Material,Ð,o,Ð
Cleanliness,1.123,2,y,too_abstract,Ð,Ð,Ð,Ð,Ð
Fruit,0.976,1,Ð,Ð,Ð,Food,Ð,o,Ð
Produce,0.947,1,Ð,Ð,Ð,Food,Ð,o,Ð
Petal,0.895,1,Ð,Ð,Ð,Flowers,Ð,o,Ð
Natural_Foods,0.889,1,Ð,Ð,Ð,Food,Ð,s,Produce
Telephone,0.878,1,Ð,Ð,Ð,Tech,Ð,s,Phone
Office_Equipment,0.871,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Sphere,0.862,1,Ð,Ð,Ð,Shape,Ð,o,Ð
Electrical_Cable,0.816,1,Ð,Ð,Ð,Tech,Ð,s,Wire
Apple,0.806,1,Ð,Ð,Ð,Food,Ð,o,Ð
Number,0.8,1,Ð,Ð,Ð,Numbers,Ð,o,Ð
Personal_Computer,0.784,1,Ð,Ð,Computer,Tech,Ð,o,Ð
Operating_System,0.763,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Multimedia,0.751,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Advertising,0.749,1,Ð,Ð,Ð,Media,y,o,Ð
Spire,0.747,1,y,incorrect,Ð,Ð,Ð,Ð,Ð
Food,0.739,1,Ð,Ð,Ð,Food,y,o,Ð
Multimedia_Software,0.722,1,Ð,Ð,Ð,Tech,Ð,s,Software
Icon,0.663,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Computer_Program,0.658,1,Ð,Ð,Ð,Tech,Ð,s,Software
Measuring_Instrument,0.655,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Animated_Cartoon,0.626,1,Ð,Ð,Ð,Design,Ð,s,Animation
Astronomical_Object,0.626,1,Ð,Ð,Ð,Sun,Ð,o,Ð
Exhibition,0.615,1,y,non_descript,Ð,Ð,Ð,Ð,Ð
Plastic,0.6,1,Ð,Ð,Ð,Material,Ð,o,Ð
Happiness,0.589,1,y,too_abstract,Ð,Ð,Ð,Ð,Ð
Home_Appliance,0.571,1,Ð,Ð,Ð,Home,Ð,o,Ð
Daisy_Family,0.57,1,Ð,Ð,Daisy,Flowers,Ð,o,Ð
Lobby,0.567,1,Ð,Ð,Ð,Interior_Design,Ð,o,Ð
Portable_Electronic_Game,0.565,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Apples,0.554,1,Ð,Ð,Ð,Food,Ð,s,Apple
Citrus,0.552,1,Ð,Ð,Ð,Food,Ð,o,Ð
Performing_Arts,0.55,1,Ð,Ð,Ð,Art,Ð,o,Ð
Sun,0.539,1,Ð,Ð,Ð,Sun,y,o,Ð
Modern_Art,0.537,1,Ð,Ð,Ð,Art,Ð,o,Ð
Seedless_Fruit,0.535,1,Ð,Ð,Ð,Food,Ð,o,Ð
Clock,0.532,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Sunrise,0.528,1,Ð,Ð,Ð,Sun,Ð,o,Ð
Cd_Player,0.515,1,Ð,Ð,Ð,Tech,Ð,o,Ð
Triangle,0.514,1,Ð,Ð,Ð,Shape,Ð,o,Ð
