object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of
Technology,21.582,25,-,-,Tech,Tech,y,o,-
Graphic_Design,20.017,30,-,-,-,Design,-,o,-
Blue,12.857,13,y,color,-,-,-,-,-
Green,11.749,12,y,color,-,-,-,-,-
Night,10.251,14,-,-,-,Night,y,o,-
Fractal_Art,7.595,12,-,-,-,Design,-,o,-
Electronic_Device,6.428,7,-,-,-,Tech,-,o,-
Operating_System,5.567,8,-,-,-,Tech,-,o,-
Software,5.155,7,-,-,-,Tech,-,o,-
Science,5.089,9,-,-,-,Science,y,o,-
Video_Game_Software,4.784,7,-,-,Video_Games,Tech,-,o,-
Gadget,4.772,6,-,-,-,Tech,-,s,Electronic_Device
Sphere,4.724,7,-,-,-,Shape,-,o,-
Astronomical_Object,4.095,5,-,-,Space,Space,-,o,-
Multimedia,4.086,6,-,-,-,Tech,-,o,-
Lens_Flare,3.739,6,-,-,-,Lighting,-,o,-
Computer,2.962,4,-,-,-,Tech,-,o,-
Neon,2.677,4,-,-,-,Neon,y,o,-
Planet,2.509,3,-,-,-,Space,-,o,-
Game_Controller,2.419,3,-,-,-,Tech,-,s,Video_Games
Multimedia_Software,2.21,3,-,-,-,Tech,-,s,Software
Personal_Computer,2.098,3,-,-,-,Tech,-,s,Computer
Joystick,1.715,2,-,-,-,Tech,-,s,Video_Games
High-Rise_Building,1.705,2,-,-,-,City,-,o,-
Metropolis,1.692,2,-,-,City,City,y,o,-
Skyscraper,1.684,2,-,-,-,City,-,s,High-Rise_Building
Purple,1.619,2,y,color,-,-,-,-,-
Tower,1.618,2,-,-,-,City,-,o,-
Globe,1.438,2,-,-,-,Space,-,o,-
Animation,1.429,2,-,-,-,Design,-,o,-
Fictional_Character,1.428,2,-,-,-,Person,-,o,-
Display_Device,1.397,2,-,-,-,Tech,-,s,Electronic_Device
Icon,1.257,2,-,-,-,Tech,-,o,-
Electronics,1.164,2,-,-,-,Tech,-,s,Electronic_Device
Laser,1.162,2,-,-,-,Lighting,-,o,-
Visual_Effect_Lighting,1.072,2,-,-,-,Lighting,-,o,-
Moon,0.989,1,-,-,-,Space,-,o,-
Audio_Equipment,0.984,1,-,-,-,Tech,-,o,-
Nature,0.976,1,-,-,-,Nature,y,o,-
City,0.954,1,-,-,-,City,y,o,-
Fluid,0.953,1,-,-,Liquid,Liquid,-,o,-
Full_Moon,0.932,1,-,-,-,Space,-,s,Moon
Event,0.926,1,y,non_descript,-,-,-,-,-
Moonlight,0.926,1,-,-,-,Space,-,s,Moon
Star,0.926,1,-,-,-,Space,-,o,-
Metropolitan_Area,0.925,1,-,-,-,City,-,s,City
Headphones,0.922,1,-,-,-,Tech,-,o,-
Liquid,0.92,1,-,-,-,Liquid,y,o,-
Mobile_Phone,0.895,1,-,-,-,Tech,-,s,Phone
Darkness,0.884,1,-,-,-,Night,-,s,Night
Telephony,0.881,1,-,-,-,Tech,-,s,Phone
Produce,0.88,1,-,-,-,Food,-,o,-
Commercial_Building,0.866,1,-,-,-,City,-,o,-
Celestial_Event,0.857,1,-,-,Space,Space,-,o,-
Feature_Phone,0.852,1,-,-,-,Tech,-,s,Phone
Communication_Device,0.842,1,-,-,-,Tech,-,s,Phone
Remote_Control,0.839,1,-,-,-,Tech,-,o,-
Drop,0.831,1,y,non_descript,-,-,-,-,-
Input_Device,0.826,1,-,-,-,Tech,-,s,Electronic_Device
Portable_Communications_Device,0.826,1,-,-,-,Tech,-,s,Phone
Headset,0.814,1,-,-,-,Tech,-,o,-
Midnight,0.796,1,-,-,-,Night,-,s,Night
Fruit,0.793,1,-,-,-,Food,-,o,-
Cityscape,0.79,1,-,-,-,City,-,s,City
Skyline,0.79,1,-,-,-,City,-,o,-
Earth,0.779,1,-,-,-,Space,-,o,-
Game,0.775,1,-,-,-,Tech,-,s,Video_Games
Loudspeaker,0.761,1,-,-,-,Tech,-,o,-
Bubble,0.756,1,-,-,-,Science,-,o,-
Silver,0.748,1,y,color,-,-,-,-,-
Glass,0.74,1,-,-,-,Material,-,o,-
Natural_Foods,0.73,1,-,-,-,Food,-,s,Produce
Peripheral,0.717,1,-,-,-,Tech,-,s,Electronic_Device
Mobile_Device,0.713,1,-,-,-,Tech,-,s,Phone
Granny_Smith,0.71,1,-,-,-,Food,-,s,Apple
Plastic,0.677,1,-,-,-,Material,-,o,-
Dishware,0.669,1,-,-,-,Object,-,o,-
Apple,0.656,1,-,-,-,Food,-,o,-
Serveware,0.633,1,-,-,-,Object,-,o,-
Mask,0.602,1,-,-,-,Object,-,o,-
Compact_Disc,0.599,1,-,-,-,Tech,-,o,-
Constellation,0.596,1,-,-,-,Space,-,o,-
Vortex,0.585,1,-,-,-,Science,-,o,-
Wallpaper,0.567,1,y,incorrect,-,-,-,-,-
Aurora,0.525,1,-,-,-,Space,-,o,-
