object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of
Sphere,14.953,21,-,-,-,Shape,-,o,-
Earth,14.879,19,-,-,-,Space,-,o,-
Graphic_Design,14.765,24,-,-,-,Design,-,o,-
Science,14.736,26,-,-,-,Science,y,o,-
Globe,13.071,18,-,-,-,Space,-,s,Earth
Planet,10.484,14,-,-,-,Space,-,o,-
Green,9.805,10,y,color,-,-,-,-,-
Meteorological_Phenomenon,9.378,13,-,-,-,Weather,-,o,-
Cumulus,9.22,12,-,-,-,Weather,-,s,Cloud
Cloud,8.507,9,-,-,-,Weather,-,o,-
Agriculture,7.414,12,-,-,-,Farming,-,o,-
Technology,6.12,7,-,-,Tech,Tech,y,o,-
Wind,5.975,9,-,-,-,Clean_Energy,-,o,-
Blue,5.93,6,y,color,-,-,-,-,-
Garden,5.641,7,-,-,-,Farming,-,o,-
Astronomical_Object,5.326,8,-,-,-,Space,-,o,-
Meadow,4.923,6,-,-,-,Nature,-,o,-
Nature,4.877,5,-,-,-,Nature,y,o,-
Display_Device,4.365,5,-,-,-,Tech,-,s,Electronic_Device
Wind_Turbine,4.343,5,-,-,-,Clean_Energy,-,o,-
Wind_Farm,4.19,5,-,-,-,Clean_Energy,-,s,Wind_Turbine
Field,3.951,5,-,-,-,Farming,-,o,-
Electronic_Device,3.917,4,-,-,-,Tech,-,o,-
Liquid,3.676,4,-,-,-,Liquid,-,o,-
Skyscraper,3.055,4,-,-,-,City,-,o,-
Lawn,3.019,4,-,-,-,Nature,-,o,-
Furniture,2.839,3,-,-,-,Home,-,o,-
Drop,2.7,4,y,non_descript,-,-,-,-,-
Animation,2.689,4,-,-,-,Design,-,o,-
Tower,2.645,3,-,-,-,City,-,o,-
Computer_Monitor,2.607,3,-,-,-,Tech,-,o,-
Windmill,2.6,3,-,-,-,Clean_Energy,-,s,Wind_Turbine
High-Rise_Building,2.541,3,-,-,-,City,-,o,-
Tourist_Attraction,2.483,3,-,-,-,City,-,o,-
Plastic,2.167,3,-,-,-,Material,-,o,-
Plantation,2.148,4,-,-,-,Farming,-,s,Farm
Solar_Panel,1.944,2,-,-,-,Clean_Energy,-,s,Solar_Power
Solar_Energy,1.924,2,-,-,-,Clean_Energy,-,s,Solar_Power
Interior_Design,1.918,2,-,-,-,Interior_Design,y,o,-
Solar_Power,1.908,2,-,-,-,Clean_Energy,-,o,-
Fluid,1.905,2,-,-,-,Liquid,-,o,-
Office_Equipment,1.876,2,-,-,-,Office,-,o,-
Desktop_Computer,1.874,2,-,-,-,Tech,-,s,Computer
Woody_Plant,1.86,2,-,-,-,Nature,-,o,-
Ceiling,1.763,2,-,-,-,Interior_Design,-,o,-
Turbine,1.639,2,-,-,-,Clean_Energy,-,s,Wind_Turbine
Machine,1.638,2,-,-,-,Tech,-,s,Electronic_Device
Map,1.568,2,-,-,-,Space,-,o,-
Cityscape,1.506,2,-,-,-,City,-,s,City
Shelf,1.46,2,-,-,-,Interior_Design,-,o,-
Shelving,1.458,2,-,-,-,Interior_Design,-,s,Shelf
Landscaping,1.419,2,-,-,-,Nature,-,o,-
Bubble,1.295,2,-,-,-,Liquid,-,o,-
Tropics,1.09,2,-,-,-,Aquatic,-,o,-
Botanical_Garden,1.084,2,-,-,-,Nature,-,o,-
Gadget,0.989,1,-,-,-,Tech,-,s,Electronic_Device
Daytime,0.981,1,-,-,-,Weather,-,s,Sunlight
Water,0.981,1,-,-,-,Nature,-,o,-
Communication_Device,0.978,1,-,-,-,Tech,-,s,Phone
Wall,0.976,1,-,-,-,Interior_Design,-,o,-
Mobile_Phone,0.972,1,-,-,-,Tech,-,s,Phone
Portable_Communications_Device,0.972,1,-,-,-,Tech,-,s,Phone
Telephony,0.971,1,-,-,-,Tech,-,s,Phone
Plants,0.967,1,-,-,-,Nature,-,o,-
Mobile_Device,0.963,1,-,-,-,Tech,-,s,Phone
Natural_Landscape,0.956,1,-,-,-,Space,-,o,-
Cone,0.946,1,-,-,-,Shape,-,o,-
Grassland,0.94,1,-,-,-,Nature,-,o,-
Finger,0.938,1,-,-,-,Hand,-,o,-
Summer,0.936,1,-,-,-,Weather,-,s,Sunlight
Pharmaceutical_Drug,0.929,1,-,-,-,Medicine,-,s,Pill
Personal_Computer,0.924,1,-,-,-,Tech,-,s,Computer
Lighting,0.921,1,-,-,-,Weather,-,o,-
Landmark,0.916,1,-,-,-,Space,-,o,-
Flooring,0.912,1,-,-,-,Interior_Design,-,s,Floor
Telephone,0.903,1,-,-,Phone,Tech,-,o,-
Floor,0.901,1,-,-,-,Interior_Design,-,o,-
Metropolis,0.896,1,-,-,-,City,-,s,City
Computer,0.892,1,-,-,-,Tech,-,o,-
Medicine,0.879,1,-,-,-,Medicine,y,o,-
Computer_Hardware,0.877,1,-,-,-,Tech,-,s,Electronic_Device
Pyramid,0.873,1,-,-,-,Shape,-,o,-
Moisture,0.865,1,-,-,-,Liquid,-,o,-
Prescription_Drug,0.856,1,-,-,-,Medicine,-,o,-
Room,0.855,1,-,-,-,Interior_Design,-,o,-
Dew,0.844,1,-,-,-,Nature,-,o,-
Observation_Tower,0.842,1,-,-,-,City,-,o,-
Pill,0.842,1,-,-,-,Medicine,-,o,-
Glass,0.84,1,-,-,-,Material,-,o,-
Sunlight,0.824,1,-,-,-,Weather,-,o,-
Gesture,0.823,1,y,non_descript,-,-,-,-,-
Pasture,0.822,1,-,-,-,Farming,-,o,-
Thumb,0.822,1,-,-,-,Hand,-,o,-
Woody_Plant,0.822,1,-,-,-,Nature,-,o,-
Bracelet,0.812,1,-,-,-,Fashion,-,o,-
