Class,Object,Score_(sum_of_class_+_synonyms),Instances_(sum_of_class_+_synonyms),Synonyms
Art,(class_total),12.548,19,Ñ
,Fractal_Art,3.016,5,Ñ
,Creative_Arts,2.918,4,Ñ
,Performing_Arts,2.59,3,Ñ
,Modern_Art,2.218,4,Ñ
,Cg_Artwork,0.744,1,Ñ
,Paint,0.6,1,Ñ
,Sticker,0.552,1,Ñ
Design,(class_total),53.763,72,Ñ
,Graphic_Design,38.285,52,Ñ
,Animation,6.235,10,Animated_Cartoon Cartoon
,Floral_Design,2.428,4,Ñ
,Monochrome,0.855,1,Ñ
,Neon,0.629,1,Ñ
,Wallpaper,3.967,7,Ñ
,Monochrome_Photography,0.921,1,Ñ
,Fashion_Illustration,1.12,2,Ñ
Fashion,(class_total),1.12,2,Ñ
,Fashion_Illustration,1.12,2,Ñ
City,(class_total),9.611,11,Ñ
,High-Rise_Building,1.688,2,Ñ
,Skyscraper,1.594,2,Ñ
,Cityscape,1.48,2,Metropolis Skyline
,Tower,0.771,1,Ñ
,Observation_Tower,0.842,1,Ñ
,Commercial_Building,0.787,1,Ñ
,City,2.449,3,Ñ
Drink,(class_total),5.233,6,Ñ
,Bottle,0.969,1,Ñ
,Glass_Bottle,0.862,1,Ñ
,Carbonated_Soft_Drinks,0.899,1,Soft_Drink
,Alcoholic_Drink,0.856,1,Ñ
,Non-Alcoholic_Drink,0.74,1,Ñ
,Liquor,0.73,1,Ñ
Extreme_Sport,(class_total),3.934,5,Ñ
,Extreme_Sport,0.875,1,Ñ
,Stunt,1.481,2,Stunt_Performer
,Bmx,0.626,1,Ñ
,Freestyle_Motocross,0.846,1,Ñ
Flight,(class_total),4.748,5,Ñ
,Aviation,0.837,1,Ñ
,Air_Travel,0.834,1,Ñ
,Aircraft,0.795,1,Ñ
,Fixed-Wing_Aircraft,0.554,1,Ñ
,Aerospace_Engineering,0.857,1,Ñ
Fitness,(class_total),2.961,3,Ñ
,Physical_Fitness,0.903,1,Ñ
,Exercise,0.747,1,Ñ
,Zumba,0.564,1,Ñ
Liquid,(class_total),0.921,1,Ñ
,Liquid,0.921,1,Ñ
Material,(class_total),1.372,2,Ñ
,Plastic,1.372,2,Ñ
Media,(class_total),6.853,8,Ñ
,Entertainment,5.211,6,Ñ
,Advertising,1.642,2,Ñ
Music,(class_total),4.962,5,Ñ
,Music,0.915,1,Ñ
,Musical_Instrument,2.34,3,Chordophone String_Instrument
,Musical_Ensemble,0.882,1,Ñ
,Jazz,0.725,1,Ñ
Shape,(class_total),3.037,5,Ñ
,Star,1.008,2,Ñ
,Box,0.643,1,Ñ
,Sphere,0.572,1,Ñ
,Cylinder,0.551,1,Ñ
,Triangle,0.539,1,Ñ
Space,(class_total),0.573,1,Ñ
,Astronomical_Object,0.573,1,Ñ
Tech,(class_total),57.266,64,Ñ
,Technology,2.585,3,Ñ
,Electronic_Device,5.318,6,Gadget Display_Device Electronics
,Loudspeaker,1.363,2,Ñ
,Wallpaper,3.967,7,Ñ
,Computer,0.892,1,Ñ
,Science,0.507,1,Ñ
,Compact_Disc,0.591,1,Ñ
,Boombox,0.514,1,Ñ
,Mobile_Phone,3.084,4,Communication_Device Telephony Portable_Communications_Device Mobile_Device
TOTALS,(all_classes),169.237,199,Ñ
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
