object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of
Interior_Design,18.193,19,-,-,-,Interior_Design,y,o,-
Flooring,17.16,18,-,-,-,Interior_Design,-,s,Floor
Floor,15.969,17,-,-,-,Interior_Design,-,o,-
Furniture,15.416,16,-,-,-,Home,-,o,-
Electronic_Device,9.468,10,-,-,-,Tech,-,o,-
Ceiling,8.82,10,-,-,-,Interior_Design,-,o,-
Chair,8.571,11,-,-,-,Home,-,o,-
Living_Room,8.494,10,-,-,-,Interior_Design,-,o,-
Room,7.94,9,-,-,-,Interior_Design,-,o,-
Gadget,7.697,9,-,-,-,Tech,-,s,Electronic_Device
Technology,5.988,7,-,-,-,Tech,y,o,-
Cleanliness,5.483,9,y,non_descript,-,-,-,-,-
Lighting,4.644,5,-,-,-,Interior_Design,-,o,-
Wood_Flooring,4.393,5,-,-,-,Interior_Design,-,o,-
Daybed,4.361,6,-,-,-,Home,-,o,-
Display_Device,3.895,5,-,-,-,Tech,-,s,Electronic_Device
Wood,3.874,4,-,-,-,Material,y,o,-
Table,3.735,4,-,-,-,Home,-,o,-
Couch,3.66,4,-,-,-,Home,-,o,-
Wood_Stain,3.593,5,-,-,-,Material,-,s,Wood
Houseplant,3.58,5,-,-,-,Nature,-,o,-
Glass,3.309,4,-,-,-,Material,-,o,-
Communication_Device,3.217,4,-,-,-,Tech,-,s,Phone
Mobile_Phone,3.122,4,-,-,-,Tech,-,s,Phone
Telephony,3.095,4,-,-,-,Tech,-,s,Phone
Hardwood,3.078,4,-,-,-,Material,-,s,Wood
Graphic_Design,2.922,5,-,-,-,Design,-,o,-
Shelving,2.887,3,-,-,-,Interior_Design,-,s,Shelf
Shelf,2.87,3,-,-,-,Interior_Design,-,o,-
Office_Equipment,2.739,3,-,-,-,Office,y,o,-
Portable_Communications_Device,2.722,4,-,-,-,Tech,-,s,Phone
Mobile_Device,2.617,4,-,-,-,Tech,-,s,Phone
Hotel,2.422,4,-,-,-,City,-,o,-
Restaurant,2.228,3,-,-,-,City,-,o,-
Animation,2.217,3,-,-,-,Design,-,o,-
Laminate_Flooring,2.157,3,-,-,-,Interior_Design,-,s,Floor
Computer,2.009,3,-,-,-,Tech,-,o,-
Handheld_Game_Console,1.948,2,-,-,-,Tech,-,s,Video_Games
Video_Game_Console,1.937,2,-,-,-,Tech,-,s,Video_Games
Nintendo_Ds,1.918,2,-,-,-,Tech,-,s,Video_Games
Headquarters,1.916,3,-,-,-,City,-,s,Commercial_Building
Electronics,1.902,3,-,-,-,Tech,-,s,Electronic_Device
Home,1.868,2,-,-,-,Home,y,o,-
Apartment,1.816,2,-,-,-,City,-,o,-
Portable_Electronic_Game,1.756,2,-,-,-,Tech,-,s,Video_Games
Game,1.692,2,-,-,-,Tech,-,s,Video_Games
Flowerpot,1.653,2,-,-,-,Interior_Design,-,o,-
Office_Chair,1.557,2,-,-,-,Home,-,s,Chair
