object,total_score,total_instances,remove_y,removal_reason,rename,class,is_name_class,synonym_s_or_original_o,synonym_of,,,,,,,
Blue,33.618,34,y,color,-,-,-,-,-,,,,,,,
Graphic_Design,21.304,35,-,-,-,Design,y,o,-,,,,,,,
Technology,16.585,19,-,-,-,Tech,y,o,-,,,,,,,
Electronic_Device,13.429,14,-,-,-,Tech,-,o,-,,,,,,,
Display_Device,13.38,16,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Animation,11.225,17,-,-,-,Design,-,o,-,,,,,,,
Gadget,9.976,12,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Operating_System,9.43,13,-,-,-,Tech,-,o,-,,,,,,,
Cloud,9.406,10,-,-,-,Weather,-,o,-,,,,,,,
Sphere,9.23,13,-,-,-,Shape,y,o,-,,,,,,,
Liquid,9.192,10,-,-,-,Liquid,y,o,-,,,,,,,
Cumulus,9.034,12,-,-,-,Weather,-,s,Cloud,,,,,,,
Green,8.825,9,y,color,-,-,-,-,-,,,,,,,
Interior_Design,8.577,9,-,-,-,Interior_Design,y,o,-,,,,,,,
Meteorological_Phenomenon,7.93,11,-,-,-,Weather,-,o,-,,,,,,,
Science,7.849,14,-,-,-,Science,y,o,-,,,,,,,
Computer,7.711,10,-,-,-,Tech,-,o,-,,,,,,,
Multimedia,7.583,11,-,-,-,Tech,-,o,-,,,,,,,
Glass,7.348,9,-,-,-,Material,-,o,-,,,,,,,
Meadow,7.299,9,-,-,-,Nature,-,o,-,,,,,,,
Software,7.186,11,-,-,-,Tech,-,o,-,,,,,,,
Field,7.184,9,-,-,-,Farming,-,o,-,,,,,,,
Ceiling,6.411,7,-,-,-,Interior_Design,-,o,-,,,,,,,
Fish,6.333,8,-,-,-,Aquatic,y,o,-,,,,,,,
Lawn,5.629,7,-,-,-,Nature,-,o,-,,,,,,,
Personal_Computer,5.601,7,-,-,-,Tech,-,s,Computer,,,,,,,
Peripheral,5.052,6,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Electronics,5.028,6,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Icon,4.969,8,-,-,-,Tech,-,o,-,,,,,,,
Bubble,4.823,7,-,-,-,Liquid,-,s,Fluid,,,,,,,
Living_Room,4.179,6,-,-,-,Interior_Design,-,o,-,,,,,,,
Underwater,4.144,6,-,-,-,Aquatic,-,o,-,,,,,,,
Flooring,3.832,4,-,-,-,Interior_Design,-,s,Floor,,,,,,,
Fluid,3.818,4,-,-,-,Liquid,-,o,-,,,,,,,
Floor,3.737,4,-,-,-,Interior_Design,-,o,-,,,,,,,
Lighting,3.683,4,-,-,-,Interior_Design,-,o,-,,,,,,,
Office_Equipment,3.527,4,-,-,-,Office,y,o,-,,,,,,,
Marine_Biology,3.427,4,-,-,-,Science,-,o,-,,,,,,,
Earth,3.268,5,-,-,-,Earth,y,o,-,,,,,,,
Drop,3.233,4,y,non_descript,-,-,-,-,-,,,,,,,
Advertising,3.15,4,-,-,-,Media,y,o,-,,,,,,,
Agriculture,3.128,5,-,-,-,Farming,y,o,-,,,,,,,
High-Rise_Building,3.036,4,-,-,-,City,-,o,-,,,,,,,
Moisture,3.001,4,-,-,-,Liquid,-,s,Fluid,,,,,,,
Wind,2.989,5,-,-,-,Weather,-,o,-,,,,,,,
Furniture,2.867,3,-,-,-,Home,y,o,-,,,,,,,
Mobile_Phone,2.852,3,-,-,-,Tech,-,s,Phone,,,,,,,
Telephony,2.845,3,-,-,-,Tech,-,s,Phone,,,,,,,
Portable_Communications_Device,2.816,3,-,-,-,Tech,-,s,Phone,,,,,,,
Communication_Device,2.812,3,-,-,-,Tech,-,s,Phone,,,,,,,
Grassland,2.742,3,-,-,-,Nature,-,o,-,,,,,,,
Smartphone,2.724,3,-,-,-,Tech,-,s,Phone,,,,,,,
Mobile_Device,2.717,3,-,-,-,Tech,-,s,Phone,,,,,,,
Orange,2.667,3,y,color,-,-,-,-,-,,,,,,,
Computer_Monitor,2.635,3,-,-,-,Tech,-,s,Display_Device,,,,,,,
Fruit,2.614,3,-,-,-,Food,y,o,-,,,,,,,
Computer_Hardware,2.61,3,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Globe,2.535,4,-,-,-,Earth,-,o,-,,,,,,,
Commercial_Building,2.515,3,-,-,-,City,-,o,-,,,,,,,
Game,2.457,3,-,-,-,Tech,-,s,Video_Games,,,,,,,
Fin,2.424,3,-,-,-,Aquatic,-,s,Fish,,,,,,,
Hotel,2.337,4,-,-,-,City,-,o,-,,,,,,,
Produce,2.312,3,-,-,-,Food,-,o,-,,,,,,,
Natural_Foods,2.283,3,-,-,-,Food,-,s,Produce,,,,,,,
Video_Game_Software,2.259,3,-,-,Video_Games,Tech,-,o,-,,,,,,,
Aquarium,2.123,3,-,-,-,Aquatic,-,o,-,,,,,,,
Plastic,2.083,3,-,-,-,Material,-,o,-,,,,,,,
Headquarters,1.971,3,-,-,-,City,-,s,Commercial_Building,,,,,,,
Daytime,1.963,2,-,-,-,Weather,-,s,Sunlight,,,,,,,
Grass,1.956,2,-,-,-,Nature,-,o,-,,,,,,,
Light_Fixture,1.954,3,-,-,-,Interior_Design,-,s,Lighting,,,,,,,
Nature,1.954,2,-,-,-,Nature,y,o,-,,,,,,,
Bottle,1.918,2,-,-,-,Drink,-,o,-,,,,,,,
Natural_Landscape,1.917,2,-,-,-,Earth,-,o,-,,,,,,,
Artificial_Turf,1.915,3,-,-,-,Nature,-,s,Grass,,,,,,,
Wallpaper,1.885,3,-,-,-,Design,-,o,-,,,,,,,
Architecture,1.865,2,-,-,-,City,-,o,-,,,,,,,Ñ
Ball,1.794,3,-,-,-,Sports,-,o,-,,,,,,,
Shelf,1.721,2,-,-,-,Interior_Design,-,o,-,,,,,,,
Shelving,1.696,2,-,-,-,Interior_Design,-,s,Shelf,,,,,,,
Output_Device,1.693,2,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Goldfish,1.666,2,-,-,-,Aquatic,-,o,-,,,,,,,
Spring,1.666,2,-,-,-,Nature,-,o,-,,,,,,,
Desktop_Computer,1.658,2,-,-,-,Tech,-,s,Computer,,,,,,,
Machine,1.624,2,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Condominium,1.604,2,-,-,-,City,-,o,-,,,,,,,
Dew,1.503,2,-,-,-,Nature,-,o,-,,,,,,,
Fictional_Character,1.472,2,-,-,-,Person,y,o,-,,,,,,,
Food,1.468,2,-,-,-,Food,y,o,-,,,,,,,
Air_Travel,1.458,2,-,-,-,Flight,-,o,-,,,,,,,
Flat-Panel_Display,1.455,2,-,-,-,Tech,-,s,Display_Device,,,,,,,
Plastic_Bottle,1.444,2,-,-,-,Drink,-,s,Bottle,,,,,,,
Astronomical_Object,1.435,2,-,-,-,Space,y,o,-,,,,,,,
Skyscraper,1.397,2,-,-,-,City,-,s,High-Rise_Building,,,,,,,
Flight,1.385,2,-,-,-,Flight,y,o,-,,,,,,,
Cleanliness,1.369,2,y,non_descript,-,-,-,-,-,,,,,,,
Planet,1.309,2,-,-,-,Space,-,o,-,,,,,,,
Daybed,1.265,2,-,-,-,Home,-,o,-,,,,,,,
Cityscape,1.21,2,-,-,-,City,-,s,City,,,,,,,
Park,1.195,2,-,-,-,Nature,-,o,-,,,,,,,
Animated_Cartoon,1.191,2,-,-,-,Design,-,s,Animation,,,,,,,
Citrus,0.978,1,-,-,-,Food,-,o,-,,,,,,,
Yellow,0.97,1,y,color,-,-,-,-,-,,,,,,,
Clownfish,0.964,1,-,-,-,Aquatic,-,s,Fish,,,,,,,
Input_Device,0.961,1,-,-,-,Tech,-,s,Electronic_Device,,,,,,,
Ingredient,0.943,1,-,-,-,Food,-,o,-,,,,,,,
